GEOID,AGE_GROUP,FERTILITY
01,15-19,18.8354214088017
01,20-24,77.11958023271617
01,25-29,110.17161369905713
01,30-34,84.4602200207547
01,35-39,39.15626478422391
01,40-44,8.111073037152208
02,15-19,14.31451862700935
02,20-24,80.08461804221045
02,25-29,102.488828896606
02,30-34,91.27150782917886
02,35-39,52.024358909302286
02,40-44,12.933878843620052
04,15-19,13.731459452757697
04,20-24,58.715591186876416
04,25-29,90.94041537859795
04,30-34,87.52492961846664
04,35-39,46.89343069283669
04,40-44,10.70729453502155
05,15-19,21.89051227889267
05,20-24,88.608198663957
05,25-29,112.14465024501365
05,30-34,80.50522900271316
05,35-39,36.498898191581105
05,40-44,7.756821375058784
06,15-19,8.554548574807828
06,20-24,41.241282727794996
06,25-29,70.03039874065152
06,30-34,87.71106356971858
06,35-39,62.15144743117236
06,40-44,16.502667330479806
08,15-19,11.047667769736222
08,20-24,49.959667403426664
08,25-29,75.14075619601654
08,30-34,87.99063879625645
08,35-39,56.11726438477749
08,40-44,12.56186242978474
09,15-19,6.457289327216838
09,20-24,29.56735164092128
09,25-29,67.04640931017202
09,30-34,106.42581068770023
09,35-39,65.24841491679065
09,40-44,14.596238044372992
10,15-19,12.88284397712882
10,20-24,54.35299415041609
10,25-29,91.44102870436677
10,30-34,92.64559812311973
10,35-39,51.81451626647034
10,40-44,13.893785660667719
11,15-19,12.100553527156363
11,20-24,30.544708647515662
11,25-29,29.871526155568564
11,30-34,58.994024406407604
11,35-39,62.30901704334398
11,40-44,21.335229878055195
12,15-19,11.684306307693765
12,20-24,52.38007905600274
12,25-29,86.16374769567426
12,30-34,88.60849303161417
12,35-39,52.25862646344003
12,40-44,13.264287510455356
13,15-19,15.765963915964893
13,20-24,65.26598752844417
13,25-29,93.99118909397426
13,30-34,87.28355119563086
13,35-39,47.654004875761935
13,40-44,11.514027595743702
15,15-19,10.856879091690873
15,20-24,61.56475676787053
15,25-29,91.61256276200459
15,30-34,89.47594297706314
15,35-39,58.38257458977128
15,40-44,16.477286386132025
16,15-19,9.80746932207457
16,20-24,75.09416054872685
16,25-29,120.06920561498137
16,30-34,96.55322531978108
16,35-39,46.01233287640956
16,40-44,10.548431498609519
17,15-19,10.230071089645628
17,20-24,44.648137711415536
17,25-29,75.90376137794037
17,30-34,91.58300863270486
17,35-39,55.02367181673188
17,40-44,12.078227464190386
18,15-19,14.827564564004652
18,20-24,69.44226965069412
18,25-29,113.52593271748148
18,30-34,95.073452000425
18,35-39,45.81125971103529
18,40-44,9.644409470764908
19,15-19,12.076999508525963
19,20-24,56.07250714799831
19,25-29,121.44416900827903
19,30-34,107.44449176662606
19,35-39,47.40111283466503
19,40-44,9.277771287118352
20,15-19,14.526969285685857
20,20-24,66.22731914723592
20,25-29,110.58626034033125
20,30-34,100.59600787147262
20,35-39,47.57282781912509
20,40-44,9.328961352904987
21,15-19,20.142850051653312
21,20-24,84.22489375999162
21,25-29,111.54061094968232
21,30-34,87.0381499282897
21,35-39,42.38835098089047
21,40-44,8.411504544950885
22,15-19,21.00781520379692
22,20-24,82.02947318288636
22,25-29,109.72484795470213
22,30-34,84.10673193964327
22,35-39,41.8193720072856
22,40-44,8.899995868073647
23,15-19,7.729951092649236
23,20-24,42.81956164735172
23,25-29,81.9894963475413
23,30-34,83.80394582308953
23,35-39,45.09400936070101
23,40-44,10.126055159533655
24,15-19,10.171415694696359
24,20-24,45.363536359156626
24,25-29,80.23685201133542
24,30-34,98.83989687552089
24,35-39,61.48217863752029
24,40-44,15.559360533509057
25,15-19,5.373489463715116
25,20-24,24.460961668929723
25,25-29,56.0000038734787
25,30-34,100.44490098513025
25,35-39,67.73115363039136
25,40-44,15.713082115737897
26,15-19,10.18185845161061
26,20-24,47.895597676430135
26,25-29,91.42571961088514
26,30-34,92.38057746189855
26,35-39,48.033228267533296
26,40-44,9.523957503707482
27,15-19,7.249293680916721
27,20-24,42.16769244389528
27,25-29,95.45445861708815
27,30-34,112.6645286153425
27,35-39,58.48323648906007
27,40-44,12.30121997653852
28,15-19,22.472067894111902
28,20-24,86.50153296756334
28,25-29,112.4539625060593
28,30-34,78.52847880111626
28,35-39,35.266196200255074
28,40-44,6.915138732389476
29,15-19,15.69609222546055
29,20-24,66.81753931418696
29,25-29,103.11297570326002
29,30-34,91.62131060554526
29,35-39,43.07505532322852
29,40-44,8.568202383423856
30,15-19,10.964348990208082
30,20-24,54.497540347334535
30,25-29,100.6871785523538
30,30-34,88.71644353874949
30,35-39,48.97308369894377
30,40-44,9.104108086255064
31,15-19,13.783343581150575
31,20-24,58.489808415675725
31,25-29,122.1473262691285
31,30-34,116.65777222351848
31,35-39,55.51305255218546
31,40-44,11.321379917420558
32,15-19,12.338170300532724
32,20-24,59.52589572697335
32,25-29,83.02883250994331
32,30-34,78.09224503012443
32,35-39,46.110334822843
32,40-44,11.47044122471605
33,15-19,4.521994591627671
33,20-24,26.022634261344393
33,25-29,74.22832742008652
33,30-34,97.6775829602896
33,35-39,52.077008999973785
33,40-44,10.610566024576674
34,15-19,7.214629033522757
34,20-24,39.922119660298065
34,25-29,74.10619744070266
34,30-34,110.28960864974682
34,35-39,73.20502255386255
34,40-44,17.25939180650776
35,15-19,17.80565220050554
35,20-24,70.77686400160218
35,25-29,92.32850874111935
35,30-34,77.23874510143749
35,35-39,40.38710062529441
35,40-44,8.899195468309667
36,15-19,7.938640037015706
36,20-24,43.983367296675354
36,25-29,68.15955327624735
36,30-34,91.81163908355609
36,35-39,65.14280533973302
36,40-44,18.194759217455054
37,15-19,14.121000297338778
37,20-24,61.82952751019779
37,25-29,94.28644124377624
37,30-34,93.06706399667547
37,35-39,50.850996289422994
37,40-44,11.21179391146999
38,15-19,11.593809230699105
38,20-24,53.95841605734231
38,25-29,119.8363540986372
38,30-34,108.99130011008087
38,35-39,51.349160562364936
38,40-44,9.75726050853429
39,15-19,13.864725491656834
39,20-24,63.44509986829581
39,25-29,98.80110157575156
39,30-34,92.50156506715479
39,35-39,47.04900462839125
39,40-44,9.189571082254341
40,15-19,19.33972456758066
40,20-24,82.73743737424931
40,25-29,112.5772123388869
40,30-34,83.68214955903173
40,35-39,39.5491273980419
40,40-44,7.952392307659582
41,15-19,8.882331585173663
41,20-24,45.402359043157
41,25-29,77.35670264017843
41,30-34,76.94876071199657
41,35-39,47.478534281292596
41,40-44,10.872650965935007
42,15-19,9.566255750123828
42,20-24,46.67778413156348
42,25-29,84.4237255994205
42,30-34,96.45647681915916
42,35-39,52.32328116267267
42,40-44,11.161833893557928
44,15-19,7.421915447603815
44,20-24,31.226646200764055
44,25-29,66.0862845792418
44,30-34,88.95675680999715
44,35-39,54.77089009729422
44,40-44,12.53134561190091
45,15-19,17.135782000407858
45,20-24,65.51822984787974
45,25-29,100.14494537402778
45,30-34,89.03766474619628
45,35-39,45.46443995860065
45,40-44,10.263433321709549
46,15-19,15.09970058301315
46,20-24,68.6127767941191
46,25-29,134.5196487465394
46,30-34,120.24753039171145
46,35-39,52.62030336485449
46,40-44,10.093492601943812
47,15-19,19.64113602072214
47,20-24,76.01402305928191
47,25-29,100.2312098603018
47,30-34,87.67913138575219
47,35-39,45.10845504490634
47,40-44,9.953433908751851
48,15-19,18.22883118063611
48,20-24,72.01175130894136
48,25-29,100.83929180260425
48,30-34,94.22808180161388
48,35-39,50.7020564826984
48,40-44,11.782124336087803
49,15-19,8.08973026006549
49,20-24,57.339761134155616
49,25-29,122.97407737507163
49,30-34,102.78837755631713
49,35-39,50.522821370434656
49,40-44,11.588031325958996
50,15-19,6.268017093958097
50,20-24,30.453131865874354
50,25-29,69.82054847642829
50,30-34,81.26529619009082
50,35-39,51.09418810472725
50,40-44,11.08403894464078
51,15-19,10.532150233680833
51,20-24,49.82412834291753
51,25-29,86.52722630689723
51,30-34,96.31568049381471
51,35-39,57.45306384180623
51,40-44,13.727197395905991
53,15-19,9.16057806421549
53,20-24,50.31566752202124
53,25-29,77.05755276549472
53,30-34,86.74098871501026
53,35-39,54.23314853926694
53,40-44,12.957407069403324
54,15-19,17.577909664237314
54,20-24,78.97884390685799
54,25-29,109.00484391360246
54,30-34,75.5419308061559
54,35-39,34.35457692821258
54,40-44,6.2263747485284675
55,15-19,9.547582002881548
55,20-24,44.97686349826924
55,25-29,94.90596092977822
55,30-34,104.73253364401317
55,35-39,50.34264731603153
55,40-44,9.945731654030405
56,15-19,14.514170077348066
56,20-24,74.28088415608897
56,25-29,111.22639775626688
56,30-34,85.92196743706715
56,35-39,40.1109252484007
56,40-44,7.84364048480508
